substrate	carbon_class	candidate_number	reaction_code	reaction_id	pathway_count	step_min	step_q1	step_median	step_mean	step_q3	step_max	single_reaction_pathway_count	single_reaction_step_median	le20_pathway_denominator	le20_occurrence_count	le20_occurrence_percent
formate	C3	6	06_PFL	PYRUVFORMLY-RXN	110	17.0	25.0	30.0	28.37272727272727	32.0	37.0	5	17.0	27	12	44.44444444444444
formate	C4	6	06_PFL	PYRUVFORMLY-RXN	176	18.0	35.0	41.0	43.07386363636363	56.0	69.0	8	22.5	9	3	33.333333333333336
formate	C2	7	07_FTL	FORMATETHFLIG-RXN-THF/ATP/FORMATE//10-FORMYL-THF/ADP/Pi.38.	110	21.0	30.0	37.0	37.10909090909091	41.0	62.0	5	24.0	10	0	0.0
formate	C3	7	07_FTL	FORMATETHFLIG-RXN-THF/ATP/FORMATE//10-FORMYL-THF/ADP/Pi.38.	110	23.0	31.0	33.5	33.972727272727276	37.0	45.0	5	33.0	27	0	0.0
formate	C4	7	07_FTL	FORMATETHFLIG-RXN-THF/ATP/FORMATE//10-FORMYL-THF/ADP/Pi.38.	176	23.0	34.75	40.0	43.56818181818182	57.0	67.0	8	31.5	9	0	0.0
formate	C2	8	08_LAL	LACTATE-ALDOLASE-RXN	110	19.0	35.0	40.0	37.88181818181818	42.0	49.0	5	28.0	10	3	30.0
formate	C3	8	08_LAL	LACTATE-ALDOLASE-RXN	110	19.0	26.0	31.0	29.581818181818182	33.75	37.0	5	19.0	27	10	37.03703703703704
formate	C4	8	08_LAL	LACTATE-ALDOLASE-RXN	176	19.0	35.0	42.0	43.44318181818182	50.25	74.0	8	24.0	9	2	22.22222222222222
formate	C2	10	10_MFL	FORMATETHFLIG-RXN-CPD-1301/ATP/FORMATE//CPD-17116/ADP/Pi.39.	110	21.0	30.0	35.5	35.95454545454545	40.0	61.0	5	23.0	10	0	0.0
formate	C3	10	10_MFL	FORMATETHFLIG-RXN-CPD-1301/ATP/FORMATE//CPD-17116/ADP/Pi.39.	110	23.0	29.0	33.0	33.07272727272727	37.0	44.0	5	34.0	27	0	0.0
formate	C4	10	10_MFL	FORMATETHFLIG-RXN-CPD-1301/ATP/FORMATE//CPD-17116/ADP/Pi.39.	176	23.0	34.0	39.0	42.97727272727273	56.0	72.0	8	32.0	9	0	0.0
methanol	C2	1	01_MTA	RXN-8095	110	19.0	26.0	28.0	29.045454545454547	32.0	42.0	5	28.0	72	12	16.666666666666668
methanol	C3	1	01_MTA	RXN-8095	110	14.0	17.0	21.0	20.40909090909091	22.0	28.0	5	19.0	213	47	22.065727699530516
methanol	C4	1	01_MTA	RXN-8095	176	20.0	28.0	33.0	31.795454545454547	36.0	42.0	8	33.0	85	3	3.5294117647058822
methanol	C2	2	02_MTB	METHTRANSBARK-RXN	110	17.0	24.0	27.0	27.772727272727273	32.0	43.0	5	25.0	72	15	20.833333333333332
methanol	C3	2	02_MTB	METHTRANSBARK-RXN	110	12.0	17.0	19.0	19.154545454545456	21.75	28.0	5	17.0	213	69	32.394366197183096
methanol	C4	2	02_MTB	METHTRANSBARK-RXN	176	18.0	25.0	32.0	30.4375	35.0	43.0	8	30.0	85	16	18.823529411764707
methanol	C2	3	03_MCM	MTAMBARKMULTI-RXN	110	18.0	25.25	28.0	28.7	32.0	43.0	5	27.0	72	12	16.666666666666668
methanol	C3	3	03_MCM	MTAMBARKMULTI-RXN	110	13.0	17.0	20.0	19.672727272727272	22.0	27.0	5	18.0	213	66	30.985915492957748
methanol	C4	3	03_MCM	MTAMBARKMULTI-RXN	176	19.0	26.0	32.0	31.039772727272727	36.0	43.0	8	31.0	85	9	10.588235294117647
methanol	C2	4	04_ADH	RXN-11451	110	10.0	19.0	25.0	24.663636363636364	30.0	38.0	5	19.0	72	35	48.611111111111114
methanol	C3	4	04_ADH	RXN-11451	110	5.0	14.0	18.0	16.9	20.0	26.0	5	11.0	213	83	38.967136150234744
methanol	C4	4	04_ADH	RXN-11451	176	12.0	21.0	27.0	26.676136363636363	33.0	42.0	8	15.5	85	42	49.411764705882355
methanol	C2	5	05_MOX	METHANOL-OXIDASE-RXN	110	10.0	19.25	26.0	25.272727272727273	31.0	40.0	5	18.0	72	35	48.611111111111114
methanol	C3	5	05_MOX	METHANOL-OXIDASE-RXN	110	5.0	14.0	18.0	16.863636363636363	20.0	26.0	5	11.0	213	84	39.436619718309856
methanol	C4	5	05_MOX	METHANOL-OXIDASE-RXN	176	12.0	21.0	27.0	26.744318181818183	33.0	43.0	8	15.5	85	42	49.411764705882355
methanol	C2	6	06_MDH	METHANOL-DEHYDROGENASE-RXN	110	10.0	19.25	25.0	25.12727272727273	31.0	40.0	5	17.0	72	35	48.611111111111114
methanol	C3	6	06_MDH	METHANOL-DEHYDROGENASE-RXN	110	5.0	14.0	18.0	16.854545454545455	20.0	26.0	5	11.0	213	85	39.906103286384976
methanol	C4	6	06_MDH	METHANOL-DEHYDROGENASE-RXN	176	12.0	21.0	27.0	26.77840909090909	33.0	43.0	8	15.5	85	42	49.411764705882355
methanol	C2	8	08_CMD	RXN-2861	110	15.0	24.0	29.0	28.69090909090909	32.0	43.0	5	22.0	72	14	19.444444444444443
methanol	C3	8	08_CMD	RXN-2861	110	11.0	18.0	21.0	20.62727272727273	25.0	28.0	5	16.0	213	51	23.943661971830984
methanol	C4	8	08_CMD	RXN-2861	176	17.0	25.0	31.0	30.704545454545453	37.0	43.0	8	20.5	85	22	25.88235294117647
